date,n_candidates,n_held,gross,turnover,net,held
2016-03-15,416,20,-0.016041879,0.5,-0.018966878,"2905,8422,3450,8086,3034,2108,6269,1232,3008,2383,6415,6206"
2016-06-15,416,20,0.045523863,0.25,0.044061363,"2905,8422,4763,3450,8086,2530,3034,2108,6269,1232,5289,6206"
2016-09-19,425,20,0.032842778,0.1,0.032257777,"2905,4763,8422,3450,8086,2530,3293,3034,2108,1232,6803,3088"
2016-12-15,431,20,0.12516606,0.25,0.12370356,"2905,8422,6525,3293,4763,3450,2530,3034,8016,6803,3088,6451"
2017-03-15,279,20,0.00024504794,0.65,-0.003557452,"1563,8422,3592,6525,4763,8383,8016,4931,6803,3357,2493,6442"
2017-06-15,274,20,0.11883301,0.5,0.11590801,"1563,8422,3592,6525,2404,4931,6197,3265,3357,6415,6579,3019"
2017-09-15,218,20,-0.03050886,0.4,-0.032848857,"1563,6620,3592,6525,3265,6187,8358,6197,5536,3357,2597,4931"
2017-12-15,220,20,0.5608345,0.45,0.558202,"1563,6620,3293,3592,1773,8358,3357,3481,2428,6588,9911,6415"
2018-03-15,232,20,0.04110241,0.35,0.039054908,"1563,6620,6525,3592,5536,2428,6415,8358,6588,3034,3357,3293"
2018-06-15,219,20,-0.0026785135,0.4,-0.0050185136,"1563,4989,6620,5534,3592,3293,6525,1773,5536,6588,4764,8070"
2018-09-17,204,20,-0.10699938,0.65,-0.11080188,"1563,6620,3265,2408,5536,5534,1808,2327,3592,1312,8070,3014"
2018-12-17,211,20,0.086972944,0.3,0.085217945,"1563,2408,6620,6670,2327,5536,1808,3265,5534,3592,8155,3026"
2019-03-15,216,20,-0.009446579,0.55,-0.012664079,"6670,8155,3026,2327,2408,2542,1808,6206,5534,1232,2492,2108"
2019-06-17,200,20,0.113026954,0.5,0.11010195,"3026,2492,6670,6488,5536,2108,8210,6672,8016,6206,3090,2327"
2019-09-16,206,20,0.07767271,0.5,0.07474771,"2492,6670,6691,6176,3026,8210,3293,2428,3088,8016,9911,5536"
2019-12-16,187,20,-0.18472774,0.45,-0.18736024,"6176,6691,1582,8210,3034,2108,3044,8016,4536,9911,2458,3293"
2020-03-16,197,20,0.25101823,0.45,0.24838573,"6176,8016,3034,3044,4931,2428,2905,2404,6525,2108,4536,6669"
2020-06-15,185,20,0.10530405,0.35,0.103256546,"6670,6176,8070,3293,3034,3044,4931,2905,8081,6462,4536,8210"
2020-09-15,200,20,0.04243449,0.5,0.03950949,"6757,6670,5289,6525,8016,3293,3413,2548,4763,3044,3034,8131"
2020-12-15,164,20,0.17697075,0.35,0.17492326,"3293,6525,3265,3034,8016,2472,8131,6138,3526,8155,4763,5289"
2021-03-15,165,20,0.1651359,0.4,0.1627959,"8155,3293,8131,1232,8016,6138,4763,3030,8081,2383,9921,6669"
2021-06-15,201,20,-0.0044406652,0.5,-0.0073656654,"8155,3293,2472,2520,8422,6515,1232,3709,6176,4536,3163,2609"
2021-09-15,209,20,0.059927564,0.55,0.056710064,"3293,2108,6805,5471,8081,8422,3709,6121,2520,1304,2492,2472"
2021-12-15,209,20,-0.046562273,0.4,-0.048902273,"3293,6805,2327,2108,5471,3563,2520,2615,2603,2377,1304,6239"
2022-03-15,221,20,-0.115675926,0.35,-0.11772343,"2108,6805,2458,2327,1304,2337,2615,2377,8081,6670,5471,3293"
2022-06-15,218,20,-0.12597662,0.2,-0.12714662,"2615,3592,2603,3293,2337,3034,8081,5471,2609,1304,3006,2108"
2022-09-15,210,20,0.061890144,0.5,0.058965143,"2615,2603,3135,3592,3034,2609,4763,6706,6231,6770,2637,6670"
2022-12-15,227,20,0.16868582,0.35,0.16663833,"2603,3034,2609,3592,3135,8081,6231,4763,8016,8070,2615,6770"
2023-03-15,224,20,0.078972295,0.55,0.07575479,"4763,3592,6176,2603,6670,6121,6206,5483,6669,6231,2454,6488"
2023-06-15,197,20,0.17659724,0.5,0.17367224,"6526,4763,6670,6176,4536,6121,6669,3293,2385,2484,6182,2059"
2023-09-15,182,20,0.107303545,0.5,0.104378544,"4763,4536,6670,6176,5536,6669,2707,2330,4770,1712,4931,3022"
2023-12-15,147,20,0.15415686,0.75,0.14976937,"6903,4763,1808,6176,5536,2707,4536,3293,6805,2493,2328,6472"
2024-03-15,144,20,0.121067524,0.3,0.119312525,"4763,6903,1808,6757,2707,3293,5536,6472,2206,6139,3217,6176"
2024-06-17,124,20,-0.023970837,0.55,-0.027188336,"4763,6903,3034,1808,6757,2458,6620,8016,2206,6291,3014,1477"
2024-09-16,158,20,0.055973716,0.45,0.053341217,"8081,8016,4763,2458,5314,3034,6903,2520,6757,2454,2597,3014"
2024-12-16,198,20,0.0863443,0.5,0.0834193,"6757,2609,2520,6176,8081,2472,8464,4763,6206,4770,5536,8016"
2025-03-17,190,20,-0.020459566,0.5,-0.023384565,"2609,6176,2520,2472,5314,6757,6788,2615,2618,2603,8081,6138"
2025-06-16,179,20,0.1751137,0.5,0.1721887,"2609,5314,2472,2603,2520,2615,2618,6788,6944,3044,6548,8932"
2025-09-15,169,20,0.008902371,0.5,0.005977371,"8464,5314,2472,6788,8114,3034,2609,2618,4536,6175,3526,8932"
2025-12-15,175,20,0.09378809,0.5,0.09086309,"4536,8114,6206,5314,3293,4763,3617,6788,2615,2472,7744,8932"
2026-03-16,148,20,0.18726465,0.35,0.18521716,"8114,3293,4536,4763,2472,8932,6206,3014,3617,6104,8464,6944"
