week,fund,rev,inst,trend8,trend5,fund_rev,fund_rev_inst,all,names,regime
2016-01-08,0,0,627,0,43,0,0,0,,bear
2016-01-15,0,0,593,8,67,0,0,0,,bear
2016-01-22,0,0,599,19,69,0,0,0,,bear
2016-01-29,0,0,669,28,91,0,0,0,,bear
2016-02-03,0,0,712,30,90,0,0,0,,bear
2016-02-19,0,472,787,34,116,0,0,0,,bear
2016-02-26,0,472,847,38,131,0,0,0,,bear
2016-03-04,0,472,904,38,143,0,0,0,,chop
2016-03-11,0,414,880,48,156,0,0,0,,chop
2016-03-18,0,414,823,57,165,0,0,0,,bull
2016-03-25,0,414,778,70,172,0,0,0,,bull
2016-04-01,0,414,705,79,175,0,0,0,,chop
2016-04-08,0,414,666,82,181,0,0,0,,chop
2016-04-15,0,532,637,84,193,0,0,0,,bull
2016-04-22,0,532,618,71,189,0,0,0,,bull
2016-04-29,0,532,581,48,180,0,0,0,,bear
2016-05-06,0,532,580,46,169,0,0,0,,bear
2016-05-13,0,388,550,40,149,0,0,0,,bear
2016-05-20,0,388,571,46,158,0,0,0,,bear
2016-05-27,0,388,677,79,190,0,0,0,,chop
2016-06-03,0,388,711,78,199,0,0,0,,chop
2016-06-08,0,388,719,86,206,0,0,0,,chop
2016-06-17,0,621,726,82,201,0,0,0,,chop
2016-06-24,0,621,688,59,193,0,0,0,,chop
2016-07-01,0,621,689,82,215,0,0,0,,chop
2016-07-08,0,621,654,75,213,0,0,0,,chop
2016-07-15,0,494,758,96,234,0,0,0,,bull
2016-07-22,0,494,762,96,253,0,0,0,,bull
2016-07-29,0,494,805,99,250,0,0,0,,bull
2016-08-05,0,494,827,101,259,0,0,0,,bull
2016-08-12,0,439,777,95,257,0,0,0,,bull
2016-08-19,0,439,789,96,257,0,0,0,,bull
2016-08-26,0,439,731,98,257,0,0,0,,bull
2016-09-02,0,439,664,99,250,0,0,0,,bull
2016-09-09,0,439,682,108,263,0,0,0,,bull
2016-09-14,0,663,585,82,243,0,0,0,,bull
2016-09-23,0,663,670,103,265,0,0,0,,bull
2016-09-30,0,663,667,97,262,0,0,0,,bull
2016-10-07,0,663,661,94,264,0,0,0,,bull
2016-10-14,0,399,596,61,240,0,0,0,,chop
2016-10-21,0,399,613,82,247,0,0,0,,bull
2016-10-28,0,399,561,76,242,0,0,0,,chop
2016-11-04,0,399,534,46,211,0,0,0,,chop
2016-11-11,0,463,533,39,199,0,0,0,,chop
