date,n_candidates,n_held,gross,turnover,net,held
2016-03-15,349,20,-0.000529778,0.5,-0.0034547779,"8422,3450,8086,6269,3034,3008,2383,6415,6206,5425,5289,5386"
2016-06-15,352,20,0.07235759,0.2,0.071187586,"8422,4763,3450,8086,3034,6269,5386,5289,2383,6206,1773,3293"
2016-09-19,359,20,0.010217753,0.25,0.008755254,"8422,4763,3450,8086,3293,3034,6206,8016,1773,5289,2383,6269"
2016-12-15,363,20,0.11774735,0.4,0.115407355,"8422,4763,3293,3450,3034,8016,6531,8086,6451,1773,6206,2383"
2017-03-15,258,20,0.016905338,0.5,0.013980337,"8422,4763,8016,3078,2493,3357,6505,4931,6442,3293,8464,3163"
2017-06-15,249,20,0.12944321,0.55,0.12622571,"8422,2404,6197,3265,4931,3357,6415,3078,8299,3163,3019,3293"
2017-09-15,191,20,0.021156019,0.45,0.018523518,"3265,6187,8358,6197,5536,3357,6505,6415,8422,6584,2404,6116"
2017-12-15,191,20,0.5295726,0.4,0.5272326,"3293,1773,8358,2428,3357,3481,6505,6415,6584,2548,2233,4931"
2018-03-15,210,20,0.058351826,0.4,0.056011826,"2428,5536,6415,8358,3034,3357,3293,1560,3481,2409,1773,2441"
2018-06-15,196,20,-0.045143493,0.45,-0.04777599,"4989,3293,1773,5536,4764,8070,2441,6176,3402,1227,2337,6491"
2018-09-17,185,20,-0.1102242,0.65,-0.1140267,"1104,3265,2408,5536,1227,2327,1220,8070,3014,4989,6488,2014"
2018-12-17,196,20,0.056779973,0.3,0.055024974,"1104,2408,6670,2327,5536,3265,1220,8155,1227,3026,8070,6435"
2019-03-15,198,20,0.008522776,0.3,0.006767776,"1104,2327,6670,1220,3026,8155,2408,1227,6206,2542,2492,3402"
2019-06-17,188,20,0.08119985,0.5,0.078274846,"1104,3026,2492,6670,5536,6488,8210,1109,6206,8016,2327,3090"
2019-09-16,201,20,0.06651066,0.4,0.064170666,"1104,2492,6691,6670,3026,6176,1109,8210,1220,3293,1203,2428"
2019-12-16,187,20,-0.17073885,0.4,-0.17307885,"1104,6176,6691,1109,8210,3034,1220,1203,8016,2458,3044,3293"
2020-03-16,187,20,0.20765504,0.35,0.20560755,"1104,6176,1109,8016,3044,3034,4931,2428,2404,6669,5243,1220"
2020-06-15,179,20,0.10987208,0.3,0.10811708,"1104,1109,6670,8070,1220,6176,3293,3034,3044,4931,8081,1203"
2020-09-15,192,20,0.049743786,0.45,0.047111288,"1104,1109,6670,5289,1220,8016,3293,1203,1227,3413,2548,4763"
2020-12-15,154,20,0.15251568,0.3,0.15076068,"1104,1109,3293,1220,8016,3034,3265,2472,1203,8131,6138,3526"
2021-03-15,159,20,0.11974436,0.35,0.11769686,"1104,1109,1220,8155,3293,1203,8016,8131,4763,6138,3030,8081"
2021-06-15,183,20,-0.026061922,0.45,-0.028694423,"1104,1109,8155,3293,2472,8422,1220,2609,6176,6515,8016,3709"
2021-09-15,197,20,0.083654866,0.45,0.08102237,"1109,1104,3293,8081,1201,8422,1220,3709,6121,2492,1219,2472"
2021-12-15,196,20,-0.038701005,0.4,-0.041041005,"1109,1104,1220,3293,2327,1201,3563,2615,2377,2603,6239,6691"
2022-03-15,197,20,-0.07414665,0.4,-0.07648665,"1109,1104,2458,2327,1220,2337,2377,2615,8081,6670,3293,2603"
2022-06-15,201,20,-0.11192037,0.25,-0.11338287,"1109,1104,2615,3592,1201,2603,3293,2337,8081,3034,2609,6548"
2022-09-15,189,20,0.059629172,0.45,0.056996673,"2603,2615,1104,3592,3034,2609,4763,6706,6770,6231,2637,8016"
2022-12-15,202,20,0.16590223,0.3,0.16414723,"2603,3034,2609,1104,3592,8081,6231,4763,8016,2615,8070,6770"
2023-03-15,199,20,0.09566719,0.45,0.09303469,"1104,4763,2603,3592,6670,6176,6121,5483,6206,6669,6231,2454"
2023-06-15,176,20,0.15756574,0.4,0.15522574,"1104,4763,6670,6176,6121,6669,3293,2385,9802,5483,2330,3030"
2023-09-15,168,20,0.10664884,0.4,0.10430884,"1104,4763,6670,5536,6176,4770,6669,9802,2330,4931,5483,6412"
2023-12-15,132,20,0.14359255,0.8,0.13891256,"1104,6903,1219,4763,6176,5536,1108,3293,6143,2493,6805,2328"
2024-03-15,130,20,0.15048143,0.3,0.14872643,"1104,4763,1219,6903,3078,6143,1108,6757,3293,5536,6472,6139"
2024-06-17,131,20,-0.0030659526,0.45,-0.0056984527,"1104,4763,1219,1108,6903,3034,1220,3078,6757,2458,8016,6143"
2024-09-16,159,20,0.047779944,0.3,0.046024945,"1104,1108,8081,8016,4763,2458,3034,3078,5314,6903,1220,6757"
2024-12-16,187,20,0.0687113,0.5,0.0657863,"1104,1103,1108,6757,2609,8081,6176,8464,2472,4763,6206,8016"
2025-03-17,181,20,-0.009842366,0.55,-0.013059866,"1104,1108,6176,2609,1220,5314,6757,2472,2615,6788,2618,2603"
2025-06-16,177,20,0.2030532,0.45,0.20042071,"1104,1108,5314,1103,2609,2472,2603,2615,2618,6944,6788,3402"
2025-09-15,163,20,-0.018996337,0.45,-0.021628838,"1104,8464,5314,3034,6788,8114,2472,2609,2618,3526,8932,6175"
2025-12-15,167,20,0.05406331,0.45,0.05143081,"1104,1103,8114,3293,5314,6206,4763,6788,3617,2472,8932,3533"
2026-03-16,143,20,0.19557175,0.35,0.19352426,"1103,3078,3293,8114,2472,4763,8932,3014,6206,8464,3617,6944"
