date,n_candidates,n_held,gross,turnover,net,held
2016-03-15,0,0,,,,
2016-06-15,0,0,,,,
2016-09-19,0,0,,,,
2016-12-15,0,0,,,,
2017-03-15,0,0,,,,
2017-06-15,0,0,,,,
2017-09-15,0,0,,,,
2017-12-15,0,0,,,,
2018-03-15,0,0,,,,
2018-06-15,0,0,,,,
2018-09-17,0,0,,,,
2018-12-17,0,0,,,,
2019-03-15,0,0,,,,
2019-06-17,3,3,0.056902747601270676,0.5,0.05397774651646614,"6139,2359,5234"
2019-09-16,17,17,0.15786759555339813,0.47058823529411764,0.15511465072631836,"3402,3014,2428,3044,5439,8016,5234,2359,1301,5425,3413,2327"
2019-12-16,13,13,-0.18654878437519073,0.15384615384615385,-0.18744878470897675,"3014,3044,5439,8016,3402,2359,5425,5234,1301,4919,2327,2474"
2020-03-16,15,15,0.28253230452537537,0.3333333333333333,0.2805823087692261,"3014,2428,3044,5439,8016,5234,2359,1301,5425,9910,1514,3413"
2020-06-15,12,12,0.10755571722984314,0.4583333333333333,0.10487446933984756,"9939,5439,3044,2428,3014,5234,8016,3402,3323,5425,6147,2351"
2020-09-15,5,5,0.03859128803014755,0.9,0.03332628682255745,"9939,5234,3044,8016,8069"
2020-12-15,5,5,0.15628771483898163,0.2,0.1551177203655243,"1104,9939,5234,3044,8016"
2021-03-15,4,4,-0.002059236168861389,0.375,-0.004252986051142216,"1104,3044,3617,5234"
2021-06-15,4,4,-0.008162036538124084,0.0,-0.008162036538124084,"1104,3044,3617,5234"
2021-09-15,11,11,0.10752663761377335,0.4090909090909091,0.10513345897197723,"1104,3044,1227,5234,3010,6176,6274,3293,3227,3217,8926"
2021-12-15,9,9,-0.02306509017944336,0.2222222222222222,-0.02436508983373642,"1104,9939,1227,3010,6274,6176,3293,3227,8926"
2022-03-15,8,8,-0.035985060036182404,0.3125,-0.03781318664550781,"1104,1227,6176,3293,3029,5234,3227,8926"
2022-06-15,11,11,-0.04061030223965645,0.3181818181818182,-0.042471665889024734,"1104,5469,6176,6231,2377,3293,8150,3217,3227,5234,8926"
2022-09-15,14,14,0.07385136187076569,0.5357142857142857,0.07071743160486221,"1104,2379,2458,3293,6231,6121,6138,3034,8016,6278,3217,8150"
2022-12-15,14,14,0.15616396069526672,0.07142857142857142,0.15574610233306885,"1104,6176,3293,2379,6121,2458,6231,3034,8150,6138,8016,5347"
2023-03-15,12,12,0.1413184255361557,0.25,0.13985592126846313,"1104,5469,6176,6121,6278,3293,6231,2379,8150,3217,3034,6138"
2023-06-15,6,6,0.17295856773853302,0.6666666666666666,0.16905856132507324,"6176,6121,6231,3293,3592,3034"
2023-09-15,8,8,0.18464669585227966,0.5,0.18172170221805573,"1104,3005,6176,6121,2379,3592,3029,6138"
2023-12-15,5,5,0.20687325298786163,0.3,0.20511825382709503,"6121,6176,3029,2379,3592"
2024-03-15,4,4,0.10110241174697876,0.375,0.09890866279602051,"3029,6121,6278,6176"
2024-06-17,2,2,-0.09797975420951843,0.5,-0.10090475529432297,"6176,6121"
2024-09-16,2,2,0.007065802812576294,1.0,0.0012158029712736607,"1104,4763"
2024-12-16,4,4,0.15501779317855835,0.25,0.15355528891086578,"1104,2385,4763,6191"
2025-03-17,2,2,-0.021594613790512085,0.5,-0.02451961301267147,"1104,4763"
2025-06-16,3,3,-0.05725671723484993,0.16666666666666666,-0.058231718838214874,"1104,4763,5347"
2025-09-15,2,2,-0.12373921275138855,0.25,-0.12520171701908112,"1104,4763"
2025-12-15,2,2,-0.04026898741722107,0.0,-0.04026898741722107,"1104,4763"
2026-03-16,2,2,-0.030619293451309204,0.0,-0.030619293451309204,"1104,4763"
